dR dT
0.00219682 0.0345375
0.00693312 0.0333455
0.00568472 0.0294819
0.00167053 0.0376343
0.00448397 0.0460203
0.00275648 0.0308218
0.00519144 0.0213102
0.0187194 0.0489748
0.0143169 0.10166
0.0129657 0.150036
0.00556105 0.0337229
0.00465651 0.0385983
0.0096493 0.0373202
0.00678586 0.0440939
0.00404748 0.01722
0.00705193 0.0340913
0.00889367 0.208036
0.00345296 0.0140822
0.0134594 0.0437119
0.0239556 0.0349509
0.00416688 0.0232818
0.00909228 0.0266325
0.00920436 0.0436386
0.0254625 0.228043
0.0117576 0.180185
0.0098614 0.0290221
0.00210932 0.043598
0.00191439 0.00899266
0.00865733 0.0416062
0.00214652 0.0371725
0.017393 0.0840068
0.0134586 0.0269836
0.0111967 0.0380758
0.00922393 0.0287263
0.00418005 0.0349956
0.00690303 0.039125
0.0110041 0.0494383
0.00128077 0.0376577
0.00232856 0.02431
0.00327678 0.0400229
0.00706171 0.0294361
0.00273976 0.10578
0.00379485 0.0264703
0.00271049 0.023738
0.00443388 0.0285133
0.00269274 0.0271353
0.00293205 0.0434366
0.00264612 0.0194095
0.00650303 0.0419109
0.00986912 0.0730961
0.00369974 0.0431634
0.00706822 0.029436
0.00244872 0.00651281
0.0100732 0.0451947
0.0129624 0.0272087
0.009119 0.0328941
0.00326318 0.0425603
0.00588084 0.0207367
0.00668832 0.0931795
0.00827589 0.0346083
0.00778745 0.0434298
0.0256316 0.127765
0.00508774 0.101006
0.00516824 0.0481887
0.00350172 0.0384977
0.00498721 0.0172249
0.00107185 0.0471413
0.00896702 0.0336662
0.00274829 0.049965
0.00264138 0.012432
0.00333951 0.0475893
0.0064714 0.0369727
0.00243391 0.0136144
0.00957772 0.12597
0.00407839 0.056368
0.0151208 0.0817427
0.00788482 0.0492973
0.00285123 0.0385364
0.0246663 0.149773
0.0330067 0.0476565
0.00297407 0.0460974
0.00484795 0.0577161
0.00648816 0.0253123
0.00972328 0.039569
0.00324093 0.0391979
0.00909472 0.0432462
0.0211792 0.0697657
